person,Person_ID,position,declaration_year,source_type,source_link,index,point_title,declarer/family,no_data,numeric_value,unit_of_measures,family_member,transport_mark,transport_model,transport_description,transport_year,purchase_cost,unit_of_measures_purchase,rent_cost,unit_of_measures_rent,foreign_income_country,foreign_income_currency,foreign_currency_number,additional,block,chapter_num,chapter_name
Барвіненко Віталій Дмитрович,21,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/9776/2013,35,Автомобілі легкові,декларант,,,,,Mercedes-Benz,,600 куб.см.,2002,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Барвіненко Віталій Дмитрович,21,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/9776/2013,35,Автомобілі легкові,декларант,,,,,Toyota,Land Cruiser,4700 куб.см.,2001,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Путілов Андрій Станіславович,331,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15821/2013,4,Член сім'ї декларанта,декларант,,,,"Син, Путілов С.А.",,,,,,,,,,,,,Члени сім’ї,1,Загальні відомості
Путілов Андрій Станіславович,331,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15821/2013,4,Член сім'ї декларанта,декларант,,,,"Син, Путілов В.А.",,,,,,,,,,,,,Члени сім’ї,1,Загальні відомості
Путілов Андрій Станіславович,331,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15821/2013,4,Член сім'ї декларанта,декларант,,,,"Донька, Путілова Н.А.",,,,,,,,,,,,,Члени сім’ї,1,Загальні відомості
Путілов Андрій Станіславович,331,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15821/2013,35,Автомобілі легкові,декларант,,,,,Mercedes-Benz,S500L,"5482 куб.см, 435 кВт, 516 см",2007,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Путілов Андрій Станіславович,331,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15821/2013,35,Автомобілі легкові,декларант,,,,,Lexus,LX,"5663 куб.см, 280 кВт, 500.5 см",2008,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Путілов Андрій Станіславович,331,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15821/2013,37,Водні засоби,декларант,,,,,Катер туристичний Elan-Power,E35,"2х3700 куб.см, 2х191 кВт, 1101 см",2005,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Путілов Андрій Станіславович,331,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15821/2013,37,Водні засоби,декларант,,,,,"Гідроцикл ""Bombardier""",,"1494 куб.см, 150 кВт, 332 см",2003,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Путілов Андрій Станіславович,331,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15821/2013,37,Водні засоби,декларант,,,,,"Гідроцикл ""Bombardier""",,"1864 куб.см, 191.5 кВт, 353.5 см",2011,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
